Organization,State,Account Type,Link,Page Alive?
Colorado,Colorado,Twitter,https://twitter.com/coloradogov,
Kentucky,Kentucky,Twitter,https://twitter.com/kygov,
Vermont,Vermont,Twitter,https://twitter.com/vermontgov,
Utah,Utah,Twitter,https://twitter.com/UtahGov,
South Carolina,South Carolina,Twitter,https://twitter.com/SCGOV,
Maine,Maine,Twitter,https://twitter.com/www_maine_gov,
Rhode Island,Rhode Island,Twitter,https://twitter.com/rigov,
PAInsuranceDept,Pennsylvania,Twitter,https://twitter.com/PAInsuranceDept,
Governor Tom Wolf,Pennsylvania,Twitter,https://twitter.com/governortomwolf,
PA Courts,Pennsylvania,Twitter,https://twitter.com/PACourts,
PA Agriculture,Pennsylvania,Twitter,https://twitter.com/paagriculture,
PA DoBS,Pennsylvania,Twitter,https://twitter.com/pafinancialreg,
PA DCNR,Pennsylvania,Twitter,https://twitter.com/DCNRNews,
PA DoC,Pennsylvania,Twitter,https://twitter.com/correctionspa,
PA DDAP,Pennsylvania,Twitter,https://twitter.com/padrugalcohol,
PA Dept of Ed,Pennsylvania,Twitter,https://twitter.com/PADeptofEd,
PA DEP ,Pennsylvania,Twitter,https://twitter.com/PennsylvaniaDEP,
PA Dep of Health,Pennsylvania,Twitter,https://twitter.com/PAHealthDept,
PA DHS,Pennsylvania,Twitter,https://twitter.com/PAHumanServices,
PA Lab Dep,Pennsylvania,Twitter,https://twitter.com/palaborindustry,
PA DMVA,Pennsylvania,Twitter,https://twitter.com/padmva,
PA State Dept,Pennsylvania,Twitter,https://twitter.com/pastatedept,
PA DOT,Pennsylvania,Twitter,https://twitter.com/penndotnews,
PA Fish & Boat,Pennsylvania,Twitter,https://twitter.com/fishandboat,
PA Game Comm,Pennsylvania,Twitter,https://twitter.com/PAGameComm,
PA Game Contrl,Pennsylvania,Twitter,https://twitter.com/PAGamingControl,
PA Legislature,Pennsylvania,Twitter,https://twitter.com/PaLegis,
Gov Robert Bently,Alabama,Twitter,https://twitter.com/GovernorBentley,
,,Twitter,https://twitter.com/1PolicePlaza,
,,Twitter,https://twitter.com/AlabamaEMA,
,,Twitter,https://twitter.com/AlamedaCoFire,
,,Twitter,https://twitter.com/AlaskaDHSEM,
,,Twitter,https://twitter.com/AlexandriaVAGov,
,,Twitter,https://twitter.com/AmerenCorp,
,,Twitter,https://twitter.com/AR_Emergencies,
,,Twitter,https://twitter.com/Arizona_DPS,
,,Twitter,https://twitter.com/ArizonaDOT,
,,Twitter,https://twitter.com/arlingtonalert,
,,Twitter,https://twitter.com/AvistaUtilities,
,,Twitter,https://twitter.com/AzEIN,
,,Twitter,https://twitter.com/BACOemergency,
,,Twitter,https://twitter.com/BaltimorePolice,
,,Twitter,https://twitter.com/BeReadyUtah,
,,Twitter,https://twitter.com/BLMNational,
,,Twitter,https://twitter.com/BLMOregon,
,,Twitter,https://twitter.com/BNO News,
,,Twitter,https://twitter.com/BoisePD,
,,Twitter,https://twitter.com/Boston_Police,
,,Twitter,https://twitter.com/BostonFire,
,,Twitter,https://twitter.com/bouldercounty,
,,Twitter,https://twitter.com/BoulderOEM,
,,Twitter,https://twitter.com/boulderpolice,
,,Twitter,https://twitter.com/BreakingLA,
,,Twitter,https://twitter.com/BrookParkFire,
,,Twitter,https://twitter.com/BrownEMS,
,,Twitter,https://twitter.com/BryanFD,
,,Twitter,https://twitter.com/Cagovernment,
,,Twitter,https://twitter.com/CAL_FIRE,
,,Twitter,https://twitter.com/CalEMA,
,,Twitter,https://twitter.com/CALFIRE_CHIEF,
,,Twitter,https://twitter.com/CALFIRE_PIO,
,,Twitter,https://twitter.com/CalFireNews,
,,Twitter,https://twitter.com/CALFIRESANDIEGO,
,,Twitter,https://twitter.com/CalFireUpdates,
,,Twitter,https://twitter.com/capitalweather,
,,Twitter,https://twitter.com/CBS8,
,,Twitter,https://twitter.com/CBSDenver,
,,Twitter,https://twitter.com/CBSSF,
,,Twitter,https://twitter.com/CDC_eHealth,
,,Twitter,https://twitter.com/CDCemergency,
,,Twitter,https://twitter.com/CDCFlu,
,,Twitter,https://twitter.com/CDCgov,
,,Twitter,https://twitter.com/CharlotteFD,
,,Twitter,https://twitter.com/charlottefire,
,,Twitter,https://twitter.com/Chicago_Police,
,,Twitter,https://twitter.com/ChicagoBreaking,
,,Twitter,https://twitter.com/CHPsouthern,
,,Twitter,https://twitter.com/Citizen_Corps,
,,Twitter,https://twitter.com/COEmergency,
,,Twitter,https://twitter.com/ColoradoDOT,
,,Twitter,https://twitter.com/ConstellationEG,
,,Twitter,https://twitter.com/CraigatFEMA,
,,Twitter,https://twitter.com/CrisisCamp,
,,Twitter,https://twitter.com/CSUtilities,
,,Twitter,https://twitter.com/CTLightandPower,
,,Twitter,https://twitter.com/CustomsBorder,
,,Twitter,https://twitter.com/DallasOEM,
,,Twitter,https://twitter.com/DallasPD,
,,Twitter,https://twitter.com/DC_HSEMA,
,,Twitter,https://twitter.com/dcairports,
,,Twitter,https://twitter.com/dcalerts,
,,Twitter,https://twitter.com/dcfireems,
,,Twitter,https://twitter.com/DCPoliceDept,
,,Twitter,https://twitter.com/DelawareDOT,
,,Twitter,https://twitter.com/DelawareEMA,
,,Twitter,https://twitter.com/dfrincidents,
,,Twitter,https://twitter.com/dfrtraffic,
,,Twitter,https://twitter.com/dhsscitech,
,,Twitter,https://twitter.com/DomEastOhio,
,,Twitter,https://twitter.com/DomVAPower,
,,Twitter,https://twitter.com/EmergCommNetwrk,
,,Twitter,https://twitter.com/EMSBlogs,
,,Twitter,https://twitter.com/EMSNews,
,,Twitter,https://twitter.com/EMSWorldNews,
,,Twitter,https://twitter.com/Entergy,
,,Twitter,https://twitter.com/EPCSheriff,
,,Twitter,https://twitter.com/epiccolorado,
,,Twitter,https://twitter.com/fairfaxcounty,
,,Twitter,https://twitter.com/fbcoem,
,,Twitter,https://twitter.com/FBIPressOffice,
,,Twitter,https://twitter.com/FDArecalls,
,,Twitter,https://twitter.com/FDNY,
,,Twitter,https://twitter.com/fema,
,,Twitter,https://twitter.com/FEMALRO,
,,Twitter,https://twitter.com/femaregion1,
,,Twitter,https://twitter.com/femaregion10,
,,Twitter,https://twitter.com/femaregion2,
,,Twitter,https://twitter.com/FEMAregion3,
,,Twitter,https://twitter.com/femaregion4,
,,Twitter,https://twitter.com/femaregion5,
,,Twitter,https://twitter.com/femaregion6,
,,Twitter,https://twitter.com/femaregion7,
,,Twitter,https://twitter.com/femaregion8,
,,Twitter,https://twitter.com/femaregion9,
,,Twitter,https://twitter.com/FLDEPAlert,
,,Twitter,https://twitter.com/FLStateWatch,
,,Twitter,https://twitter.com/FluGov,
,,Twitter,https://twitter.com/FortWorthFire,
,,Twitter,https://twitter.com/GeorgetownEMS,
,,Twitter,https://twitter.com/GeorgiaEMA,
,,Twitter,https://twitter.com/GOHSEP,
,,Twitter,https://twitter.com/GulfPower,
,,Twitter,https://twitter.com/GVRuralPower,
,,Twitter,https://twitter.com/hawaiianfire,
,,Twitter,https://twitter.com/hillsborocops,
,,Twitter,https://twitter.com/HillsboroFandR,
,,Twitter,https://twitter.com/HMSAT,
,,Twitter,https://twitter.com/HurstFireDept,
,,Twitter,https://twitter.com/iadot,
,,Twitter,https://twitter.com/IdahoITD,
,,Twitter,https://twitter.com/IDHS,
,,Twitter,https://twitter.com/IDOT_Illinois,
,,Twitter,https://twitter.com/IN_MI_Power,
,,Twitter,https://twitter.com/inciweb,
,,Twitter,https://twitter.com/iowadot,
,,Twitter,https://twitter.com/IowaHSEMD,
,,Twitter,https://twitter.com/iWitnessWeather,
,,Twitter,https://twitter.com/JCCIC2013,
,,Twitter,https://twitter.com/JCFireEMS,
,,Twitter,https://twitter.com/LA_Dispatch,
,,Twitter,https://twitter.com/lacfd,
,,Twitter,https://twitter.com/LAFD,
,,Twitter,https://twitter.com/LAFDFIRECHIEF,
,,Twitter,https://twitter.com/LAFDtalk,
,,Twitter,https://twitter.com/LagunaVistaPD,
,,Twitter,https://twitter.com/LakesideFire,
,,Twitter,https://twitter.com/LASD_News,
,,Twitter,https://twitter.com/LATimesFires,
,,Twitter,https://twitter.com/lbfd,
,,Twitter,https://twitter.com/LLIS,
,,Twitter,https://twitter.com/LongviewFire,
,,Twitter,https://twitter.com/LosPadresNF,
,,Twitter,https://twitter.com/LoudounFire,
,,Twitter,https://twitter.com/ManchacaFire,
,,Twitter,https://twitter.com/MassEMA,
,,Twitter,https://twitter.com/MayorVincentGray,
,,Twitter,https://twitter.com/mcfrs,
,,Twitter,https://twitter.com/mdrtraffic,
,,Twitter,https://twitter.com/MDSHA,
,,Twitter,https://twitter.com/MesaFireDept,
,,Twitter,https://twitter.com/MetroInaug,
,,Twitter,https://twitter.com/MichEMHS,
,,Twitter,https://twitter.com/MichiganDOT,
,,Twitter,https://twitter.com/MidstateEMS,
,,Twitter,https://twitter.com/milwaukeepolice,
,,Twitter,https://twitter.com/MoDOT,
,,Twitter,https://twitter.com/MontgomeryCoMD,
,,Twitter,https://twitter.com/moOHS,
,,Twitter,https://twitter.com/MorristownEMS,
,,Twitter,https://twitter.com/MPCStorm,
,,Twitter,https://twitter.com/MPDHSU,
,,Twitter,https://twitter.com/MSEMA,
,,Twitter,https://twitter.com/MyBGE,
,,Twitter,https://twitter.com/Napa_City_Fire,
,,Twitter,https://twitter.com/NBCNewYork,
,,Twitter,https://twitter.com/NCDOT,
,,Twitter,https://twitter.com/ncforestservice,
,,Twitter,https://twitter.com/NDDES,
,,Twitter,https://twitter.com/NDOR,
,,Twitter,https://twitter.com/NEMA_web,
,,Twitter,https://twitter.com/NEUtilities,
,,Twitter,https://twitter.com/nevadadot,
,,Twitter,https://twitter.com/NewEarthquake,
,,Twitter,https://twitter.com/NEWRedCross,
,,Twitter,https://twitter.com/NewsBreaker,
,,Twitter,https://twitter.com/NJEMSTF,
,,Twitter,https://twitter.com/NJOEM2010,
,,Twitter,https://twitter.com/NMFirePIO,
,,Twitter,https://twitter.com/NotifyNYC,
,,Twitter,https://twitter.com/NTASAlerts,
,,Twitter,https://twitter.com/NYSDHSES,
,,Twitter,https://twitter.com/OCEANUSLive,
,,Twitter,https://twitter.com/ocems,
,,Twitter,https://twitter.com/OCFA_PIO,
,,Twitter,https://twitter.com/OCFD,
,,Twitter,https://twitter.com/OKDOT,
,,Twitter,https://twitter.com/okem,
,,Twitter,https://twitter.com/OKForestService,
,,Twitter,https://twitter.com/okgov,
,,Twitter,https://twitter.com/OpenGov,
,,Twitter,https://twitter.com/oregondot,
,,Twitter,https://twitter.com/PacificPower_CA,
,,Twitter,https://twitter.com/pcoemhs,
,,Twitter,https://twitter.com/PDXFire,
,,Twitter,https://twitter.com/PECOConnect,
,,Twitter,https://twitter.com/PeoplesGas,
,,Twitter,https://twitter.com/PGFDPIO,
,,Twitter,https://twitter.com/PhillyPolice,
,,Twitter,https://twitter.com/PHXFire,
,,Twitter,https://twitter.com/policeandfire,
,,Twitter,https://twitter.com/PPBPIO,
,,Twitter,https://twitter.com/PreparedinPlano,
,,Twitter,https://twitter.com/PSOklahoma,
,,Twitter,https://twitter.com/PublicServiceCo,
,,Twitter,https://twitter.com/R5_Fire_News,
,,Twitter,https://twitter.com/ReadyGov,
,,Twitter,https://twitter.com/ReadyNH,
,,Twitter,https://twitter.com/ReadySanDiego,
,,Twitter,https://twitter.com/RedTeamInfo,
,,Twitter,https://twitter.com/RenoFD,
,,Twitter,https://twitter.com/RFDVA,
,,Twitter,https://twitter.com/RhodeIslandEMA,
,,Twitter,https://twitter.com/RichmondPolice,
,,Twitter,https://twitter.com/RIDOTNews,
,,Twitter,https://twitter.com/RMP_Idaho,
,,Twitter,https://twitter.com/RMP_Wyoming,
,,Twitter,https://twitter.com/RoanokeFireEMS,
,,Twitter,https://twitter.com/SacPolice,
,,Twitter,https://twitter.com/SanJuanEMS,
,,Twitter,https://twitter.com/SBVFD,
,,Twitter,https://twitter.com/SCDNR,
,,Twitter,https://twitter.com/SCDOTPress,
,,Twitter,https://twitter.com/SCEMD,
,,Twitter,https://twitter.com/SDFD,
,,Twitter,https://twitter.com/seattle911fire,
,,Twitter,https://twitter.com/SeattleFire,
,,Twitter,https://twitter.com/SeattlePD,
,,Twitter,https://twitter.com/SecretService,
,,Twitter,https://twitter.com/SF_emergency,
,,Twitter,https://twitter.com/SFRD,
,,Twitter,https://twitter.com/slcfire,
,,Twitter,https://twitter.com/slcpd,
,,Twitter,https://twitter.com/SmithtownFD,
,,Twitter,https://twitter.com/SO_Rescue_Squad,
,,Twitter,https://twitter.com/SOMO RedCross,
,,Twitter,https://twitter.com/SunCityWestFire,
,,Twitter,https://twitter.com/SV_RedCross,
,,Twitter,https://twitter.com/T_E_M_A,
,,Twitter,https://twitter.com/texasfiredotcom,
,,Twitter,https://twitter.com/TFD181,
,,Twitter,https://twitter.com/TFDEMS1,
,,Twitter,https://twitter.com/TulsaFire,
,,Twitter,https://twitter.com/TwoRockFire,
,,Twitter,https://twitter.com/TxDOT,
,,Twitter,https://twitter.com/TxDOTAmarillo,
,,Twitter,https://twitter.com/TxDOTBeaumont,
,,Twitter,https://twitter.com/TxDOTLubbock,
,,Twitter,https://twitter.com/TXForestService,
,,Twitter,https://twitter.com/US_FEMA,
,,Twitter,https://twitter.com/USCG,
,,Twitter,https://twitter.com/USCIS,
,,Twitter,https://twitter.com/uscoastguard,
,,Twitter,https://twitter.com/USDAFoodSafety,
,,Twitter,https://twitter.com/usfire,
,,Twitter,https://twitter.com/usfs_r5,
,,Twitter,https://twitter.com/UtahDOT,
,,Twitter,https://twitter.com/UtahRedCross,
,,Twitter,https://twitter.com/utdpspio,
,,Twitter,https://twitter.com/vabeachems,
,,Twitter,https://twitter.com/VaDOT,
,,Twitter,https://twitter.com/VailFire,
,,Twitter,https://twitter.com/VBPD,
,,Twitter,https://twitter.com/VCFD,
,,Twitter,https://twitter.com/VDEM,
,,Twitter,https://twitter.com/vemvt,
,,Twitter,https://twitter.com/VFPD,
,,Twitter,https://twitter.com/YumaFireDept,
,,Twitter,https://twitter.com/gov_gilmore,
,,Twitter,https://twitter.com/MayorEdMurray,
,,Twitter,https://twitter.com/IvyRTaylor,
,,Twitter,https://twitter.com/CLTMayor,
,,Twitter,https://twitter.com/MayorBowser,
,,Twitter,https://twitter.com/MayorMikeDuggan,
,,Twitter,https://twitter.com/ChicagosMayor,
,,Twitter,https://twitter.com/MayorAlvinBrown,
,,Twitter,https://twitter.com/MayorBetsyPrice,
,,Twitter,https://twitter.com/Mike_Rawlings,
,,Twitter,https://twitter.com/mayoredlee,
,,Twitter,https://twitter.com/MayorStanton,
,,Twitter,https://twitter.com/Michael_Nutter,
,,Twitter,https://twitter.com/MayorHancock,
,,Twitter,https://twitter.com/MichaelBColeman,
,,Twitter,https://twitter.com/MayorSRB,
,,Twitter,https://twitter.com/marty_walsh,
,,Twitter,https://twitter.com/NYCMayorsOffice,
,,Twitter,https://twitter.com/Kevin_Faulconer,
,,Twitter,https://twitter.com/TheLeeTeam,
,,Twitter,https://twitter.com/AnniseParker,
,,Twitter,https://twitter.com/MayorBallard,
,,Twitter,https://twitter.com/LAMayorsOffice,
,,Twitter,https://twitter.com/MayorACWharton,
,,Twitter,https://twitter.com/OregonGovBrown,
,,Twitter,https://twitter.com/LarryHogan,
,,Twitter,https://twitter.com/GovHawaii,
,,Twitter,https://twitter.com/AkGovBillWalker,
,,Twitter,https://twitter.com/GovRicketts,
,,Twitter,https://twitter.com/GovRauner,
,,Twitter,https://twitter.com/NDGovDalrymple,
,,Twitter,https://twitter.com/GovMattMead,
,,Twitter,https://twitter.com/WolfForPA,
,,Twitter,https://twitter.com/GovInslee,
,,Twitter,https://twitter.com/GovernorHassan,
,,Twitter,https://twitter.com/Governor_LePage,
,,Twitter,https://twitter.com/GovTomblin,
,,Twitter,https://twitter.com/AsaHutchinson,
,,Twitter,https://twitter.com/GinaRaimondo,
,,Twitter,https://twitter.com/SDGovDaugaard,
,,Twitter,https://twitter.com/GovMalloyOffice,
,,Twitter,https://twitter.com/NYGovCuomo,
,,Twitter,https://twitter.com/GovPeterShumlin,
,,Twitter,https://twitter.com/PhilBryantMS,
,,Twitter,https://twitter.com/GovernorDeal,
,,Twitter,https://twitter.com/GovMarkDayton,
,,Twitter,https://twitter.com/GovWalker,
,,Twitter,https://twitter.com/GovSandoval,
,,Twitter,https://twitter.com/GovMaryFallin,
,,Twitter,https://twitter.com/FLGovScott,
,,Twitter,https://twitter.com/hickforco,
,,Twitter,https://twitter.com/GovernorBullock,
,,Twitter,https://twitter.com/GovernorVA,
,,Twitter,https://twitter.com/GovChristie,
,,Twitter,https://twitter.com/govsambrownback,
,,Twitter,https://twitter.com/TerryBranstad,
,,Twitter,https://twitter.com/PatMcCroryNC,
,,Twitter,https://twitter.com/GovHerbert,
,,Twitter,https://twitter.com/Gov_Martinez,
,,Twitter,https://twitter.com/GovernorMarkell,
,,Twitter,https://twitter.com/nikkihaley,
,,Twitter,https://twitter.com/Steve__Beshear,
,,Twitter,https://twitter.com/ButchOtter,
,,Twitter,https://twitter.com/GovJayNixon,
,,Twitter,https://twitter.com/BillHaslam,
,,Twitter,https://twitter.com/dougducey,
,,Twitter,https://twitter.com/JerryBrownGov,
,,Twitter,https://twitter.com/MassGovernor,
,,Twitter,https://twitter.com/BobbyJindal,
,,Twitter,https://twitter.com/GovPenceIN,
,,Twitter,https://twitter.com/raleighpolice,
,,Twitter,https://twitter.com/cityofcincy,
,,Twitter,https://twitter.com/CincinnatiPD,
,,Twitter,https://twitter.com/MesaPD,
,,Twitter,https://twitter.com/UPDSL,
,,Twitter,https://twitter.com/GilbertPolice,
,,Twitter,https://twitter.com/CuyahogaCountry,
,,Twitter,https://twitter.com/CuyahogaSheriff,
,,Twitter,https://twitter.com/CuyahogaOEM,
,,Twitter,https://twitter.com/CuyCoConsumers,
,,Twitter,https://twitter.com/cuycommonpleas,
,,Twitter,https://twitter.com/CuyahogaHousing,
,,Twitter,https://twitter.com/CCBH_Net,
,,Twitter,https://twitter.com/CuyahogaCouncil,
,,Twitter,https://twitter.com/CuyaLandBank,
