name,abbreviation,type,occupied,notes,fips_state,assoc_press,standard_federal_region,census_region,census_region_name,census_division,census_division_name,circuit_court
Alabama,AL,state,occupied,,1,Ala.,IV,3,South,6,East South Central,11
Alaska,AK,state,occupied,,2,Alaska,X,4,West,9,Pacific,9
Arizona,AZ,state,occupied,,4,Ariz.,IX,4,West,8,Mountain,9
Arkansas,AR,state,occupied,,5,Ark.,VI,3,South,7,West South Central,8
California,CA,state,occupied,,6,Calif.,IX,4,West,9,Pacific,9
Colorado,CO,state,occupied,,8,Colo.,VIII,4,West,8,Mountain,10
Connecticut,CT,state,occupied,,9,Conn.,I,1,Northeast,1,New England,2
Delaware,DE,state,occupied,,10,Del.,III,3,South,5,South Atlantic,3
Florida,FL,state,occupied,,12,Fla.,IV,3,South,5,South Atlantic,11
Georgia,GA,state,occupied,,13,Ga.,IV,3,South,5,South Atlantic,11
Hawaii,HI,state,occupied,,15,Hawaii,IX,4,West,9,Pacific,9
Idaho,ID,state,occupied,,16,Idaho,X,4,West,8,Mountain,9
Illinois,IL,state,occupied,,17,Ill.,V,2,Midwest,3,East North Central,7
Indiana,IN,state,occupied,,18,Ind.,V,2,Midwest,3,East North Central,7
Iowa,IA,state,occupied,,19,Iowa,VII,2,Midwest,4,West North Central,8
Kansas,KS,state,occupied,,20,Kan.,VII,2,Midwest,4,West North Central,10
Kentucky,KY,state,occupied,,21,Ky.,IV,3,South,6,East South Central,6
Louisiana,LA,state,occupied,,22,La.,VI,3,South,7,West South Central,5
Maine,ME,state,occupied,,23,Maine,I,1,Northeast,1,New England,1
Maryland,MD,state,occupied,,24,Md.,III,3,South,5,South Atlantic,4
Massachusetts,MA,state,occupied,,25,Mass.,I,1,Northeast,1,New England,1
Michigan,MI,state,occupied,,26,Mich.,V,2,Midwest,3,East North Central,6
Minnesota,MN,state,occupied,,27,Minn.,V,2,Midwest,4,West North Central,8
Mississippi,MS,state,occupied,,28,Miss.,IV,3,South,6,East South Central,5
Missouri,MO,state,occupied,,29,Mo.,VII,2,Midwest,4,West North Central,8
Montana,MT,state,occupied,,30,Mont.,VIII,4,West,8,Mountain,9
Nebraska,NE,state,occupied,,31,Neb.,VII,2,Midwest,4,West North Central,8
Nevada,NV,state,occupied,,32,Nev.,IX,4,West,8,Mountain,9
New Hampshire,NH,state,occupied,,33,N.H.,I,1,Northeast,1,New England,1
New Jersey,NJ,state,occupied,,34,N.J.,II,1,Northeast,2,Mid-Atlantic,3
New Mexico,NM,state,occupied,,35,N.M.,VI,4,West,8,Mountain,10
New York,NY,state,occupied,,36,N.Y.,II,1,Northeast,2,Mid-Atlantic,2
North Carolina,NC,state,occupied,,37,N.C.,IV,3,South,5,South Atlantic,4
North Dakota,ND,state,occupied,,38,N.D.,VIII,2,Midwest,4,West North Central,8
Ohio,OH,state,occupied,,39,Ohio,V,2,Midwest,3,East North Central,6
Oklahoma,OK,state,occupied,,40,Okla.,VI,3,South,7,West South Central,10
Oregon,OR,state,occupied,,41,Ore.,X,4,West,9,Pacific,9
Pennsylvania,PA,state,occupied,,42,Pa.,III,1,Northeast,2,Mid-Atlantic,3
Rhode Island,RI,state,occupied,,44,R.I.,I,1,Northeast,1,New England,1
South Carolina,SC,state,occupied,,45,S.C.,IV,3,South,5,South Atlantic,4
South Dakota,SD,state,occupied,,46,S.D.,VIII,2,Midwest,4,West North Central,8
Tennessee,TN,state,occupied,,47,Tenn.,IV,3,South,6,East South Central,6
Texas,TX,state,occupied,,48,Texas,VI,3,South,7,West South Central,5
Utah,UT,state,occupied,,49,Utah,VIII,4,West,8,Mountain,10
Vermont,VT,state,occupied,,50,Vt.,I,1,Northeast,1,New England,2
Virginia,VA,state,occupied,,51,Va.,III,3,South,5,South Atlantic,4
Washington,WA,state,occupied,,53,Wash.,X,4,West,9,Pacific,9
West Virginia,WV,state,occupied,,54,W.Va.,III,3,South,5,South Atlantic,4
Wisconsin,WI,state,occupied,,55,Wis.,V,2,Midwest,3,East North Central,7
Wyoming,WY,state,occupied,,56,Wyo.,VIII,4,West,8,Mountain,10
Washington DC,DC,capitol,occupied,,11,,III,3,South,5,South Atlantic,D.C.
Puerto Rico,PR,commonwealth,occupied,,72,,II,,,,,1
U.S. Virgin Islands,VI,territory,occupied,,78,,II,,,,,3
American Samoa,AS,territory,occupied,,60,,IX,,,,,
Guam,GU,territory,occupied,,66,,IX,,,,,9
Northern Mariana Islands,MP,commonwealth,occupied,,69,,IX,,,,,9
Baker Island,,minor,unoccupied,Part of “US Minor Outlying Islands”,81,,,,,,,
Howland Island,,minor,unoccupied,Part of “US Minor Outlying Islands”,84,,,,,,,
Jarvis Island,,minor,unoccupied,Part of “US Minor Outlying Islands”,86,,,,,,,
Johnston Atoll,,minor,unoccupied,Part of “US Minor Outlying Islands”,67,,,,,,,
Midway Islands,,minor,unoccupied,Part of “US Minor Outlying Islands”,71,,,,,,,
Wake Island,,minor,unoccupied,Part of “US Minor Outlying Islands”. Claimed by Marshall Islands.,79,,,,,,,
Palmyra Atoll,,minor,occupied,Part of “US Minor Outlying Islands”. Owned and Managed by The Nature Conservatory,95,,,,,,,
Kingman Reef,,minor,unoccupied,Part of “US Minor Outlying Islands”,89,,,,,,,
Navassa Island,,minor,unoccupied,Part of “US Minor Outlying Islands”. Claimed by Haiti.,76,,,,,,,
Serranilla Bank,,minor,occupied,"Lighthouse is inhabited, but occupants are unknown",,,,,,,,
Bajo Nuevo Bank,,minor,unoccupied,Disputed with Colombia.  Lighthouse possibly occupied.,,,,,,,,
